x,reference,rusanov,cfweno_burgers
0.6400000000,1.0154662055,1.0152764555,1.0154636034
0.6500000000,1.0000000042,1.0002323685,1.0000023433
0.6600000000,0.9845338027,0.9851819773,0.9845409678
0.6700000000,0.9691814147,0.9702318944,0.9691931324
0.6800000000,0.9540544488,0.9554870751,0.9540702725
0.6900000000,0.9392601494,0.9410489863,0.9392794878
0.7000000000,0.9248993255,0.9270139228,0.9249216414
0.7100000000,0.9110653645,0.9134715387,0.9110897566
0.7200000000,0.8978418852,0.9005036436,0.8978677659
0.7300000000,0.8853030192,0.8881832967,0.8853296394
0.7400000000,0.8735122493,0.8765742073,0.8735388899
0.7500000000,0.8625221752,0.8657304357,0.8625484299
0.7600000000,0.8523757064,0.8556963710,0.8524007362
0.7700000000,0.8431046996,0.8465069500,0.8431282688
0.7800000000,0.8347323878,0.8381880756,0.8347540840
0.7900000000,0.8272730921,0.8307571899,0.8272925853
0.8000000000,0.8207330367,0.8242239570,0.8207503570
0.8100000000,0.8151123478,0.8185910174,0.8151270366
0.8200000000,0.8104039651,0.8138547815,0.8104161872
0.8300000000,0.8065964471,0.8100062355,0.8066061420
0.8400000000,0.8036736450,0.8070317387,0.8036808007
0.8500000000,0.8016154612,0.8049137889,0.8016203634
0.8600000000,0.8003995485,0.8036317286,0.8004019957
0.8700000000,0.8000000964,0.8031623303,0.8000004204
0.8800000000,0.8003901411,0.8034795230,0.8003884379
0.8900000000,0.8015409944,0.8045546195,0.8015373773
0.9000000000,0.8034226728,0.8063578583,0.8034174823
0.9100000000,0.8060050887,0.8088588128,0.8059982385
0.9200000000,0.8092568171,0.8120266091,0.8092486471
0.9300000000,0.8131468091,0.8158301105,0.8131374507
0.9400000000,0.8176437289,0.8202380766,0.8176333179
0.9500000000,0.8227161502,0.8252193032,0.8227049914
0.9600000000,0.8283333463,0.8307427395,0.8283214046
0.9700000000,0.8344642069,0.8367775856,0.8344517715
0.9800000000,0.8410784592,0.8432933685,0.8410656537
0.9900000000,0.8481460595,0.8502599987,0.8481330079
