x,exact,upwind,lax_wendroff,cfweno3
0.3150000000,1.3971478906,1.3874669911,1.3978515628,1.3971470796
0.3250000000,1.4539904997,1.4429240016,1.4546723939,1.4539895727
0.3350000000,1.5090414158,1.4966329934,1.5096988409,1.5090403763
0.3450000000,1.5620833779,1.5483820016,1.5627137394,1.5620822301
0.3550000000,1.6129070537,1.5979667966,1.6135078638,1.6129058021
0.3650000000,1.6613118653,1.6451916898,1.6618807530,1.6613105149
0.3750000000,1.7071067812,1.6898703062,1.7076415013,1.7071053373
0.3850000000,1.7501110696,1.7318263197,1.7506095118,1.7501095379
0.3950000000,1.7901550124,1.7708941490,1.7906152095,1.7901533989
0.4050000000,1.8270805743,1.8069196113,1.8275007102,1.8270788854
0.4150000000,1.8607420270,1.8397605306,1.8611204436,1.8607402693
0.4250000000,1.8910065242,1.8692872987,1.8913417280,1.8910047047
0.4350000000,1.9177546257,1.8953833869,1.9180452939,1.9177527516
0.4450000000,1.9408807690,1.9179458060,1.9411257544,1.9408788476
0.4550000000,1.9602936857,1.9368855124,1.9604920215,1.9602917247
0.4650000000,1.9759167619,1.9521277596,1.9760676653,1.9759147691
0.4750000000,1.9876883406,1.9636123936,1.9877912161,1.9876863237
0.4850000000,1.9955619646,1.9712940897,1.9956164062,1.9955599316
0.4950000000,1.9995065604,1.9751425318,1.9995123532,1.9995045193
0.5050000000,1.9995065604,1.9751425318,1.9994636815,1.9995045193
0.5150000000,1.9955619646,1.9712940897,1.9954705834,1.9955599316
0.5250000000,1.9876883406,1.9636123936,1.9875488176,1.9876863237
0.5350000000,1.9759167619,1.9521277596,1.9757296478,1.9759147691
0.5450000000,1.9602936857,1.9368855124,1.9600597189,1.9602917247
0.5550000000,1.9408807690,1.9179458060,1.9406008728,1.9408788476
0.5650000000,1.9177546257,1.8953833869,1.9174299048,1.9177527516
0.5750000000,1.8910065242,1.8692872987,1.8906382602,1.8910047047
0.5850000000,1.8607420270,1.8397605306,1.8603316732,1.8607402693
0.5950000000,1.8270805743,1.8069196113,1.8266297501,1.8270788854
0.6050000000,1.7901550124,1.7708941490,1.7896654971,1.7901533989
0.6150000000,1.7501110696,1.7318263197,1.7495847951,1.7501095379
0.6250000000,1.7071067812,1.6898703062,1.7065458244,1.7071053373
0.6350000000,1.6613118653,1.6451916898,1.6607184401,1.6613105149
0.6450000000,1.6129070537,1.5979667966,1.6122835020,1.6129058021
0.6550000000,1.5620833779,1.5483820016,1.5614321606,1.5620822301
0.6650000000,1.5090414158,1.4966329934,1.5083651030,1.5090403763
0.6750000000,1.4539904997,1.4429240016,1.4532917605,1.4539895727
0.6850000000,1.3971478906,1.3874669911,1.3964294826,1.3971470796
0.6950000000,1.3387379202,1.3304808255,1.3380026786,1.3387372285
0.7050000000,1.2789911060,1.2721904030,1.2782419325,1.2789905363
0.7150000000,1.2181432414,1.2128257694,1.2173830926,1.2181427959
0.7250000000,1.1564344650,1.1526212097,1.1556663409,1.1564341456
0.7350000000,1.0941083133,1.0918143237,1.0933352453,1.0941081211
0.7450000000,1.0314107591,1.0306450886,1.0306357981,1.0314106949
0.7550000000,0.9685892409,0.9693549114,0.9678154454,0.9685893051
0.7650000000,0.9058916867,0.9081856763,0.9051221105,0.9058918789
0.7750000000,0.8435655350,0.8473787903,0.8428032152,0.8435658544
0.7850000000,0.7818567586,0.7871742306,0.7811047038,0.7818572041
0.7950000000,0.7210088940,0.7278095970,0.7202700722,0.7210094637
0.8050000000,0.6612620798,0.6695191745,0.6605394068,0.6612627715
0.8150000000,0.6028521094,0.6125330089,0.6021484372,0.6028529204
0.8250000000,0.5460095003,0.5570759984,0.5453276061,0.5460104273
0.8350000000,0.4909585842,0.5033670066,0.4903011591,0.4909596237
0.8450000000,0.4379166221,0.4516179984,0.4372862606,0.4379177699
0.8550000000,0.3870929463,0.4020332034,0.3864921362,0.3870941979
0.8650000000,0.3386881347,0.3548083102,0.3381192470,0.3386894851
0.8750000000,0.2928932188,0.3101296938,0.2923584987,0.2928946627
0.8850000000,0.2498889304,0.2681736803,0.2493904882,0.2498904621
0.8950000000,0.2098449876,0.2291058510,0.2093847905,0.2098466011
0.9050000000,0.1729194257,0.1930803887,0.1724992898,0.1729211146
0.9150000000,0.1392579730,0.1602394694,0.1388795564,0.1392597307
0.9250000000,0.1089934758,0.1307127013,0.1086582720,0.1089952953
0.9350000000,0.0822453743,0.1046166131,0.0819547061,0.0822472484
0.9450000000,0.0591192310,0.0820541940,0.0588742456,0.0591211524
0.9550000000,0.0397063143,0.0631144876,0.0395079785,0.0397082753
0.9650000000,0.0240832381,0.0478722404,0.0239323347,0.0240852309
0.9750000000,0.0123116594,0.0363876064,0.0122087839,0.0123136763
0.9850000000,0.0044380354,0.0287059103,0.0043835938,0.0044400684
0.9950000000,0.0004934396,0.0248574682,0.0004876468,0.0004954807
